Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact,Min_Altitude,Max_Altitude,Bag_Weight_KG,Harvest_Year_Date,Grading_Date_Date
Honduras,varias,AMNI-22-6011-1,Beneficio seco,13-167-471,Cafe Organico Marcala S.A de C.V.,1400,Marcala,comsa,260,69 kg,Instituto Hondureño del Café,2021 / 2022,"August 17th, 2022",Eliud Hernandez Gonzales,SHG,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10,10,7.67,0,83.5,11.2,0,1,green,5,"August 17th, 2023",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1400.0,1400.0,69.0,,2022-08-17
Colombia,La fortaleza,3-0104-00202 Popayán Supremo,Trilladora Pubenza,3-0104-00202,Cafe Colsuaves,1700,Popayán Cauca,La fortaleza,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022,"January 18th, 2023",pablo velosa,Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10,10,7.58,0,83.5,12.2,0,0,bluish-green,2,"January 18th, 2024",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991,1700.0,1700.0,30.0,2022.0,2023-01-18
Uganda,Masereka William,7969,Dry Mill,Nov-35,Kyagalanyi Coffee Limited,1905,Rwenzori,Kyagalanyi coffee limited,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,"September 1st, 2022",KYAGALANYI COFFEE LIMITED,SL14,Completed,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10.0,10,10,7.67,0,83.33,11.1,0,0,green,5,"September 1st, 2023",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Brenda Kamara Kemigisha Mangeni - 256773040119,1905.0,1905.0,60.0,,2022-09-01
"Tanzania, united republic of",MASHIMA AMCOS,CN 4127220163/4189220459,GOURMET COFFEE MILL,033/0010/032,DORMAN TANZANIA LTD,1400-1700,KILIMANJARO,DORMAN TANZANIA LTD,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10,10,7.5,0,83.25,10.4,0,0,greenish,8,"January 3rd, 2024",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,1400.0,1700.0,60.0,,2023-01-03
Honduras,varias,AMNI-22-6011-2,Beneficio seco,13-167-471-2,Cafe Organico Marcala S.A de C.V.,1400,Marcala,comsa,260,69 kg,Instituto Hondureño del Café,2021 / 2022,"August 17th, 2022",Eliud Hernandez Gonzales,Catuai,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10,10,7.67,0,83.25,11.3,0,1,green,5,"August 17th, 2023",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1400.0,1400.0,69.0,,2022-08-17
Honduras,La Cuchilla,187,CIGRAH,13-111-059,CIGRAH,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",Fausto Nahun Maldonado,250,69 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10,10,7.58,0,83.08,10.6,0,2,green,7,"May 23rd, 2023",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1368.0,1368.0,69.0,,2022-05-23
Honduras,Bethel,198,CADEXSA,13-63-119,CADEXSA,1450,"Los Planes de Santa Maria, La Paz",Omar Acosta,325,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023",CADEXSA,Catuai,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10,10,7.5,0,83.08,9.6,0,0,green,2,"April 24th, 2024",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1450.0,1450.0,69.0,,2023-04-25
Mexico,Finca Tequihua,1,"Coatepec, Veracruz",3093,La Villa Coffee Company LLC,1350,"ZONGOLICA, VERACRUZ",Martin Tequihuatle Zepahua,141,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"August 11th, 2022",Alvin La Vaughn Landry,Bourbon,Completed,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10,10,7.5,0,82.92,11.9,2,0,green,1,"August 11th, 2023",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092,1350.0,1350.0,69.0,,2022-08-11
Honduras,Varias,273,Beneficio Seco Comsa,13-167-181,Cafe Organico Marcala S.A de C.V.,1280,Marcala,Varios,275,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 24th, 2023",Eliud Hernandez Gonzales,Catuai,Completed,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10,10,7.5,0,82.83,10.0,0,0,green,4,"April 23rd, 2024",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1280.0,1280.0,69.0,,2023-04-24
Nicaragua,Finca San Felipe,017-053-0017,Beneficio Atlantic Sébaco,017-053-0017,Exportadora Atlantic S.A,1200,Matagalpa,Exportadora Atlantic S.A.,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"January 30th, 2023","Exportadora Atlantic, S.A.",SHG,Completed,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10,10,7.33,0,82.75,10.5,5,2,green,1,"January 30th, 2024",Asociación de Cafés Especiales de Nicaragua,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717,1200.0,1200.0,69.0,,2023-01-30
Colombia,Federación Nacional de Cafeteros de Colombia,3/01/12857,Federación Nacional de Cafeteros de Colombia,3/01/12857,"NIPPON COFFEE TRADING CO.,LTD.",1700,Huila,Federación Nacional de Cafeteros de Colombia,250,70 kg,Japan Coffee Exchange,2022,"July 11th, 2022",Yukinobu Ueda,Caturra,Completed,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10,10,7.5,0,82.67,11.8,0,1,green,2,"July 11th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1700.0,1700.0,70.0,2022.0,2022-07-11
Honduras,Bethel,197,CADEXSA,13-63-118,CADEXSA,1450,los planes de santa maria la paz,Omar Acosta,325,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023",CADEXSA,Catuai,Completed,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10,10,7.5,0,82.67,9.6,0,0,green,2,"April 24th, 2024",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1450.0,1450.0,69.0,,2023-04-25
El salvador,Agua Caliente,Jan-26,Agua Caliente,9-392-35,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30 kg,Salvadoran Coffee Council,2022 / 2023,"March 3rd, 2023",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10,10,7.33,0,82.5,11.3,0,0,green,2,"March 2nd, 2024",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,1200.0,1200.0,30.0,,2023-03-03
Panama,Finca Lerida,P03769,Finca Lerida,29-169-003,Panamerican Coffee Trading,1200,Boquete,Finca Lerida,200,30 kg,Specialty Coffee Association of Costa Rica,2021 / 2022,"May 25th, 2022",Rodrigo Soto,Caturra,Completed,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10,10,7.42,0,82.5,10.0,0,0,green,0,"May 25th, 2023",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,1200.0,1200.0,30.0,,2022-05-25
Brazil,Fazenda Pedra Preta,MVB-QCert-001/2022,COPAG VARGINHA,002/1643/0049,Man Volcafe Brasil Ltda.,1100,MANTIQUEIRA / SUL DE MINAS,Eduardo Niero de Souza,620,30 kg,Brazil Specialty Coffee Association,2022 / 2023,"November 3rd, 2022",ED&F Man Volcafe Brasil Ltda.,Mundo Novo,Completed,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10,10,7.33,0,82.5,11.8,0,1,bluish-green,1,"November 3rd, 2023",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705,1100.0,1100.0,30.0,,2022-11-03
Honduras,La Cuchilla,185,CIGRAH,13-111-057,Mercon Honduras,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",Fausto Nahun Maldonado,345,30 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10,10,7.5,0,82.5,10.6,0,0,green,8,"May 23rd, 2023",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1368.0,1368.0,30.0,,2022-05-23
El salvador,Agua Caliente,Jan-26,Agua Caliente,9-392-35,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30 kg,Salvadoran Coffee Council,2022 / 2023,"February 21st, 2023",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10,10,7.42,0,82.33,12.0,0,7,green,10,"February 21st, 2024",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,1200.0,1200.0,30.0,,2023-02-21
El salvador,Agua Caliente,Jan-74,Agua Caliente,09-392-144,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",275,69 kg,Salvadoran Coffee Council,2021 / 2022,"July 7th, 2022",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10,10,7.17,0,82.33,11.8,0,0,bluish-green,0,"July 7th, 2023",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,1200.0,1200.0,69.0,,2022-07-07
Honduras,La Cuchilla,184,CIGRAH,13-111-056,Mercon Honduras,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",Fausto Nahun Maldonado,125,69 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10,10,7.42,0,82.17,10.6,0,0,green,8,"May 23rd, 2023",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1368.0,1368.0,69.0,,2022-05-23
Costa rica,San Diego Mill,S019194 - P04178,Dosmil,5-0015-0228,Beneficios Volcafé Costa Rica,1500,Corralillo Tarrazu,San Diego Mill,500,30 kg,Specialty Coffee Association of Costa Rica,2018 / 2019,"March 29th, 2023",Volcafe Japan,Caturra,Completed,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10,10,7.5,0,82.0,10.5,1,2,green,8,"March 28th, 2024",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,1500.0,1500.0,30.0,,2023-03-29
Guatemala,Not Specificated,SA4238,Dry Mill of Exportcafe,#327,Marubeni Corporation,1350-1550,Oriente,"Exportcafe, S.A.",275,69 kg,Japan Coffee Exchange,2021 / 2022,"November 28th, 2022",Ikuto Uehara,Unknown,Completed,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10,10,7.5,0,82.0,11.5,0,1,blue-green,2,"November 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1350.0,1550.0,69.0,,2022-11-28
Peru,Fundo La Libertad,301R,Planta Callao,301R,Itochu Corporation,1600,"Chanchamayo, La Merced",Sandro Crispin Espiritu,275,69 kg,Japan Coffee Exchange,2022 / 2023,"July 11th, 2022",Kiichiro Iwata,Caturra,Completed,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10,10,7.42,0,81.92,11.6,0,2,greenish,2,"July 11th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1600.0,1600.0,69.0,,2022-07-11
Guatemala,MULTIPLE SMALLHOLDER FARMS,GF-23392,MULTIPLE SMALLHOLDER FARMS,11/15/179,"HARU International Corp, 守成咖啡",1200~1600,Antigua,La Minita,540,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 3rd, 2022",Anderson Wong,Caturra,Completed,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10,10,7.42,0,81.92,10.3,0,0,greenish,1,"November 3rd, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",,,30.0,2022.0,2022-11-03
Mexico,Finca San José,2,"Coatepec, Veracruz",3093,La Villa Coffee Company LLC,1200,"Coatepec, Veracruz",José Gerardo Gutierrez Morales,32,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"August 11th, 2022",Alvin La Vaughn Landry,Typica,Completed,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10.0,10,10,7.33,0,81.67,11.8,2,0,green,2,"August 11th, 2023",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092,1200.0,1200.0,69.0,,2022-08-11
Brazil,Various farm,38,Dry Mill of Cocapil,002/1738/0038,Marubeni Corporation,1200,Alta Mogiana-Ibiraci,Cocapil,440,60 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023",Ikuto Uehara,Unknown,Completed,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10.0,10,10,7.25,0,81.0,10.6,0,2,greenish,1,"April 16th, 2024",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1200.0,1200.0,60.0,,2023-04-17
Nicaragua,Sajonia Estate Coffee S.A.,1,Sajonia Estate Coffee S.A.,017/411,SAJONIA ESTATE COFFEE S.A.,1000,Jinotega,Sajonia Estate Coffee S.A.,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"April 20th, 2023",SAJONIA ESTATE COFFEE S.A.,Sarchimor,Completed,Washed / Wet,7.42,7.17,7.0,7.08,7.42,7.17,10.0,10,10,7.17,0,80.42,11.2,0,0,green,5,"April 19th, 2024",Asociación de Cafés Especiales de Nicaragua,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717,1000.0,1000.0,69.0,,2023-04-20
Brazil,Various farm,002/1738/0029,Dry mill,002/1738/0029,marubeni,1200,Alta Mogiana-Ibiraci,COCAPIL,440,60 kg,Japan Coffee Exchange,2021 / 2022,"July 20th, 2022",Ikuto Uehara,Catuai and Mundo Novo,Completed,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10.0,10,10,7.17,0,80.17,11.6,0,1,greenish,2,"July 20th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1200.0,1200.0,60.0,,2022-07-20
Nicaragua,Finca San Felipe,017-053-0155,Beneficio Atlantic Sébaco,017-053-0155,Exportadora Atlantic S.A,1200,Matagalpa,Exportadora Atlantic S.A.,300,30 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"March 3rd, 2023","Exportadora Atlantic, S.A.",SHG,Completed,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10.0,10,10,7.08,0,80.0,10.4,0,2,green,12,"March 2nd, 2024",Asociación de Cafés Especiales de Nicaragua,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717,1200.0,1200.0,30.0,,2023-03-03
Laos,-,105/3/VL7285-005,DRY MILL,105/3/VL7285-005,Marubeni Corporation,1300,Bolaven Plateau,"LAO MINH TIEN COFFEE SOLE CO.,LTD",343,60 kg,Japan Coffee Exchange,2021 / 2022,"November 11th, 2022",Ikuto Uehara,Catimor,Completed,Washed / Wet,7.25,7.17,7.08,7.0,7.08,7.08,10.0,10,10,7.0,0,79.67,11.6,0,9,green,11,"November 11th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1300.0,1300.0,60.0,,2022-11-11
Brazil,Walter Matter,1058 y 1059,Beneficio humedo/seco,002/1208/1016,Descafeinadores Mexicano SA. de CV,850-1100,Minas Gerais,Walter Matter,600,60 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"November 18th, 2022",Descafeinadores Mexicanos S.A de C.V,Mundo Novo,Completed,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10.0,10,10,6.67,0,78.0,11.3,0,0,green,1,"November 18th, 2023",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092,850.0,1100.0,60.0,,2022-11-18
